userId,title,language,technology,content
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in python,python,python,"print(""Hello World!"");"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in c,c,c,"printf(""Hello World!"");"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in javascript,javascript,javascript,"console.log(""Hello World!"");"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in java,java,java,"public class Main {
  public static void main(String[] args) {
    System.out.println(""Hello World!""); 
  } 
}"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in cpp,cpp,cpp,"#include <iostream>
int main() {
  std::cout << "Hello World!";
  return 0;
}"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in csharp,csharp,csharp,"Console.WriteLine(""Hello World!"");"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in php,php,php,"<?php echo ""Hello World!""; ?>"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in ruby,ruby,ruby,"puts ""Hello World!"""
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in swift,swift,swift,"print(""Hello World!"");"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in kotlin,kotlin,kotlin,"fun main(args: Array<String>) {
    println(""Hello World!"")
}"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in bash,bash,bash,"echo ""Hello World!"""
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in css,css,css,"
  body {
    background-color: blue;
  }"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in nextjs,jsx,nextjs,"export default function Home() {
  return (
    <div>
      Hello World!
    </div>
  );
}"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in nodejs,typescript,nodejs,"console.log(""Hello World!"");"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in react,jsx,react,"function App() {
  return (
    <div>
      Hello World!
    </div>
  );
}"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in rust,rust,rust,"fn main() {
    println!("Hello World!");
}"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in typescript,typescript,typescript,"console.log(""Hello World!"");"
user_2h4tuukeCVOSIq8OunIe77653EK,Display hello in html,xml-doc,html,"<!DOCTYPE html>
<html>
  <body>
    Hello World!
  </body>
</html>"
